abv,icpsr,state,district,year,rep,dem,other,total
CA,71,CALIFORNIA,20,1956,87054,34699,NA,121753
CA,71,CALIFORNIA,21,1956,150895,96384,NA,247279
CA,71,CALIFORNIA,22,1956,97317,66995,NA,164312
CA,71,CALIFORNIA,23,1956,84509,97659,NA,182168
CA,71,CALIFORNIA,24,1956,79645,57344,NA,136989
CA,71,CALIFORNIA,25,1956,169444,96817,NA,266261
CA,71,CALIFORNIA,26,1956,77523,123048,NA,200571
CA,71,CALIFORNIA,27,1956,86263,64946,NA,151209
CA,71,CALIFORNIA,28,1956,166453,82605,NA,249058
CA,71,CALIFORNIA,29,1956,67292,42295,NA,109587
CA,71,CALIFORNIA,30,1956,132833,75623,NA,208456
CO,62,COLORADO,1,1956,121402,93812,NA,215214
CO,62,COLORADO,2,1956,133263,75670,NA,208933
CO,62,COLORADO,3,1956,89862,65685,NA,155547
CO,62,COLORADO,4,1956,49952,28830,NA,78782
CT,1,CONNECTICUT,1,1956,175894,126923,NA,302817
CT,1,CONNECTICUT,2,1956,104858,63832,NA,168690
CT,1,CONNECTICUT,3,1956,134096,78107,NA,212203
CT,1,CONNECTICUT,4,1956,199841,84890,NA,284731
CT,1,CONNECTICUT,5,1956,97148,51327,NA,148475
CT,1,CONNECTICUT,6,1956,0,0,NA,0
DE,11,DELAWARE,1,1956,98057,79421,NA,177478
FL,43,FLORIDA,1,1956,129999,72339,NA,202338
FL,43,FLORIDA,2,1956,55853,55175,NA,111028
FL,43,FLORIDA,3,1956,40122,71616,NA,111738
FL,43,FLORIDA,4,1956,134275,109886,NA,244161
FL,43,FLORIDA,5,1956,107515,56923,NA,164438
FL,43,FLORIDA,6,1956,104832,45629,NA,150461
FL,43,FLORIDA,7,1956,55826,34573,NA,90399
FL,43,FLORIDA,8,1956,22427,34230,NA,56657
GA,44,GEORGIA,1,1956,22910,32111,NA,55021
GA,44,GEORGIA,2,1956,11453,34929,NA,46382
GA,44,GEORGIA,3,1956,16254,41827,NA,58081
GA,44,GEORGIA,4,1956,12067,44429,NA,56496
GA,44,GEORGIA,5,1956,53528,82792,NA,136320
GA,44,GEORGIA,6,1956,13518,38413,NA,51931
GA,44,GEORGIA,7,1956,34212,51248,NA,85460
GA,44,GEORGIA,8,1956,13856,41741,NA,55597
GA,44,GEORGIA,9,1956,21917,37641,NA,59558
GA,44,GEORGIA,10,1956,16947,35963,NA,52910
ID,63,IDAHO,1,1956,63291,48281,NA,111572
ID,63,IDAHO,2,1956,103688,57587,NA,161275
IL,21,ILLINOIS,1,1956,38917,68266,NA,107183
IL,21,ILLINOIS,2,1956,81169,81570,NA,162739
IL,21,ILLINOIS,3,1956,114807,72862,NA,187669
IL,21,ILLINOIS,4,1956,173881,93785,NA,267666
IL,21,ILLINOIS,5,1956,82472,79430,NA,161902
IL,21,ILLINOIS,6,1956,69686,86990,NA,156676
IL,21,ILLINOIS,7,1956,46624,89742,NA,136366
IL,21,ILLINOIS,8,1956,63438,67360,NA,130798
IL,21,ILLINOIS,9,1956,78903,64738,NA,143641
IL,21,ILLINOIS,10,1956,149845,63861,NA,213706
IL,21,ILLINOIS,11,1956,115272,61000,NA,176272
IL,21,ILLINOIS,12,1956,113073,92332,NA,205405
IL,21,ILLINOIS,13,1956,241890,88164,NA,330054
IL,21,ILLINOIS,14,1956,172755,50771,NA,223526
IL,21,ILLINOIS,15,1956,113570,54247,NA,167817
IL,21,ILLINOIS,16,1956,118278,55360,NA,173638
IL,21,ILLINOIS,17,1956,114860,56504,NA,171364
IL,21,ILLINOIS,18,1956,98216,56432,NA,154648
IL,21,ILLINOIS,19,1956,94324,63188,NA,157512
IL,21,ILLINOIS,20,1956,84124,54474,NA,138598
IL,21,ILLINOIS,21,1956,105984,77091,NA,183075
IL,21,ILLINOIS,22,1956,97132,60201,NA,157333
IL,21,ILLINOIS,23,1956,94493,64260,NA,158753
IL,21,ILLINOIS,24,1956,80941,103192,NA,184133
IL,21,ILLINOIS,25,1956,88646,69862,NA,158508
IN,22,INDIANA,1,1956,92803,85000,NA,177803
IN,22,INDIANA,2,1956,105309,48597,NA,153906
IN,22,INDIANA,3,1956,121041,86330,NA,207371
IN,22,INDIANA,4,1956,104003,48832,NA,152835
IN,22,INDIANA,5,1956,121278,80169,NA,201447
IN,22,INDIANA,6,1956,92593,64318,NA,156911
IN,22,INDIANA,7,1956,91061,63536,NA,154597
IN,22,INDIANA,8,1956,107302,82492,NA,189794
IN,22,INDIANA,9,1956,79713,54927,NA,134640
IN,22,INDIANA,10,1956,105142,70605,NA,175747
IN,22,INDIANA,11,1956,162566,99102,NA,261668
IA,31,IOWA,1,1956,103643,68351,NA,171994
IA,31,IOWA,2,1956,119965,76040,NA,196005
IA,31,IOWA,3,1956,105418,68907,NA,174325
IA,31,IOWA,4,1956,66515,52734,NA,119249
IA,31,IOWA,5,1956,98418,76259,NA,174677
IA,31,IOWA,6,1956,78356,60823,NA,139179
IA,31,IOWA,7,1956,72957,47904,NA,120861
IA,31,IOWA,8,1956,83915,50840,NA,134755
KS,32,KANSAS,1,1956,94672,41674,NA,136346
KS,32,KANSAS,2,1956,109451,70169,NA,179620
KS,32,KANSAS,3,1956,57452,34480,NA,91932
KS,32,KANSAS,4,1956,142182,75980,NA,218162
KS,32,KANSAS,5,1956,89520,42289,NA,131809
KS,32,KANSAS,6,1956,73511,31725,NA,105236
KY,51,KENTUCKY,1,1956,43887,74549,NA,118436
KY,51,KENTUCKY,2,1956,61113,49515,NA,110628
KY,51,KENTUCKY,3,1956,119262,83483,NA,202745
KY,51,KENTUCKY,4,1956,50306,45894,NA,96200
KY,51,KENTUCKY,5,1956,62626,48548,NA,111174
KY,51,KENTUCKY,6,1956,70077,67188,NA,137265
KY,51,KENTUCKY,7,1956,81313,73408,NA,154721
KY,51,KENTUCKY,8,1956,85608,33868,NA,119476
LA,45,LOUISIANA,1,1956,61679,43256,NA,104935
LA,45,LOUISIANA,2,1956,68011,46877,NA,114888
LA,45,LOUISIANA,3,1956,35465,24475,NA,59940
LA,45,LOUISIANA,4,1956,36090,18720,NA,54810
LA,45,LOUISIANA,5,1956,20916,15032,NA,35948
LA,45,LOUISIANA,6,1956,46442,42476,NA,88918
LA,45,LOUISIANA,7,1956,35172,33848,NA,69020
LA,45,LOUISIANA,8,1956,25272,19293,NA,44565
ME,2,MAINE,1,1956,97760,44302,NA,142062
ME,2,MAINE,2,1956,82838,37709,NA,120547
ME,2,MAINE,3,1956,68640,20457,NA,89097
MD,52,MARYLAND,1,1956,48932,30015,NA,78947
MD,52,MARYLAND,2,1956,128427,59281,NA,187708
MD,52,MARYLAND,3,1956,39718,40882,NA,80600
MD,52,MARYLAND,4,1956,60158,35053,NA,95211
MD,52,MARYLAND,5,1956,90910,71110,NA,162020
MD,52,MARYLAND,6,1956,116137,74607,NA,190744
MD,52,MARYLAND,7,1956,75456,61665,NA,137121
MA,3,MASSACHUSETTS,1,1956,95007,55549,NA,150556
MA,3,MASSACHUSETTS,2,1956,98745,73653,NA,172398
MA,3,MASSACHUSETTS,3,1956,93923,69408,NA,163331
MA,3,MASSACHUSETTS,4,1956,113489,64369,NA,177858
MA,3,MASSACHUSETTS,5,1956,130971,76225,NA,207196
MA,3,MASSACHUSETTS,6,1956,105615,55320,NA,160935
MA,3,MASSACHUSETTS,7,1956,64593,74680,NA,139273
MA,3,MASSACHUSETTS,8,1956,107091,64653,NA,171744
MA,3,MASSACHUSETTS,9,1956,128025,59072,NA,187097
MA,3,MASSACHUSETTS,10,1956,105056,78669,NA,183725
MA,3,MASSACHUSETTS,11,1956,55361,66129,NA,121490
MA,3,MASSACHUSETTS,12,1956,50235,74055,NA,124290
MA,3,MASSACHUSETTS,13,1956,130212,71143,NA,201355
MA,3,MASSACHUSETTS,14,1956,114874,65265,NA,180139
MI,23,MICHIGAN,1,1956,29141,109408,NA,138549
MI,23,MICHIGAN,2,1956,114246,56874,NA,171120
MI,23,MICHIGAN,3,1956,108518,51300,NA,159818
MI,23,MICHIGAN,4,1956,95783,42740,NA,138523
MI,23,MICHIGAN,5,1956,123580,58330,NA,181910
MI,23,MICHIGAN,6,1956,140957,93976,NA,234933
MI,23,MICHIGAN,7,1956,131620,89492,NA,221112
MI,23,MICHIGAN,8,1956,99919,48635,NA,148554
MI,23,MICHIGAN,9,1956,77225,46646,NA,123871
MI,23,MICHIGAN,10,1956,79060,35157,NA,114217
MI,23,MICHIGAN,11,1956,62044,35637,NA,97681
MI,23,MICHIGAN,12,1956,45922,36592,NA,82514
MI,23,MICHIGAN,13,1956,44591,85149,NA,129740
MI,23,MICHIGAN,14,1956,110173,109794,NA,219967
MI,23,MICHIGAN,15,1956,52682,106011,NA,158693
MI,23,MICHIGAN,16,1956,124131,159609,NA,283740
MI,23,MICHIGAN,17,1956,121065,94647,NA,215712
MI,23,MICHIGAN,18,1956,152990,99901,NA,252891
MN,33,MINNESOTA,1,1956,89143,54218,NA,143361
MN,33,MINNESOTA,2,1956,91840,52635,NA,144475
MN,33,MINNESOTA,3,1956,126427,114102,NA,240529
MN,33,MINNESOTA,4,1956,80701,87784,NA,168485
MN,33,MINNESOTA,5,1956,81498,59734,NA,141232
MN,33,MINNESOTA,6,1956,73124,53469,NA,126593
MN,33,MINNESOTA,7,1956,68306,59079,NA,127385
MN,33,MINNESOTA,8,1956,56368,84853,NA,141221
MN,33,MINNESOTA,9,1956,51890,51651,NA,103541
MS,46,MISSISSIPPI,1,1956,8314,34447,NA,42761
MS,46,MISSISSIPPI,2,1956,4446,19935,NA,24381
MS,46,MISSISSIPPI,3,1956,6287,12281,NA,18568
MS,46,MISSISSIPPI,4,1956,15271,19923,NA,35194
MS,46,MISSISSIPPI,5,1956,7039,27187,NA,34226
MS,46,MISSISSIPPI,6,1956,19328,30680,NA,50008
MO,34,MISSOURI,1,1956,81951,127080,NA,209031
MO,34,MISSOURI,2,1956,135393,106434,NA,241827
MO,34,MISSOURI,3,1956,50822,90577,NA,141399
MO,34,MISSOURI,4,1956,99354,92554,NA,191908
MO,34,MISSOURI,5,1956,63136,73782,NA,136918
MO,34,MISSOURI,6,1956,86834,78456,NA,165290
MO,34,MISSOURI,7,1956,111816,71261,NA,183077
MO,34,MISSOURI,8,1956,66190,64850,NA,131040
MO,34,MISSOURI,9,1956,89931,83716,NA,173647
MO,34,MISSOURI,10,1956,51349,62068,NA,113417
MO,34,MISSOURI,11,1956,77523,67495,NA,145018
MT,64,MONTANA,1,1956,68014,49268,NA,117282
MT,64,MONTANA,2,1956,86919,66970,NA,153889
NE,35,NEBRASKA,1,1956,108486,54894,NA,163380
NE,35,NEBRASKA,2,1956,90716,59361,NA,150077
NE,35,NEBRASKA,3,1956,89700,42826,NA,132526
NE,35,NEBRASKA,4,1956,89206,41948,NA,131154
NV,65,NEVADA,1,1956,56049,40640,NA,96689
NH,4,NEW HAMPSHIRE,1,1956,92122,50684,NA,142806
NH,4,NEW HAMPSHIRE,2,1956,84397,39680,NA,124077
NJ,12,NEW JERSEY,1,1956,129804,104435,NA,234239
NJ,12,NEW JERSEY,2,1956,85652,44847,NA,130499
NJ,12,NEW JERSEY,3,1956,150710,67029,NA,217739
NJ,12,NEW JERSEY,4,1956,94174,76942,NA,171116
NJ,12,NEW JERSEY,5,1956,175723,73237,NA,248960
NJ,12,NEW JERSEY,6,1956,146228,67540,NA,213768
NJ,12,NEW JERSEY,7,1956,169297,56638,NA,225935
NJ,12,NEW JERSEY,8,1956,98280,61155,NA,159435
NJ,12,NEW JERSEY,9,1956,155491,52408,NA,207899
NJ,12,NEW JERSEY,10,1956,80863,47347,NA,128210
NJ,12,NEW JERSEY,11,1956,73918,49031,NA,122949
NJ,12,NEW JERSEY,12,1956,91631,59369,NA,151000
NJ,12,NEW JERSEY,13,1956,72483,48724,NA,121207
NJ,12,NEW JERSEY,14,1956,78591,39490,NA,118081
NM,66,NEW MEXICO,1,1956,146788,106098,NA,252886
NM,66,NEW MEXICO,2,1956,0,0,NA,0
NY,13,NEW YORK,1,1956,221096,69436,NA,290532
NY,13,NEW YORK,2,1956,162177,57438,NA,219615
NY,13,NEW YORK,3,1956,156890,74051,NA,230941
NY,13,NEW YORK,4,1956,129741,71043,NA,200784
NY,13,NEW YORK,5,1956,105260,42785,NA,148045
NY,13,NEW YORK,6,1956,119475,97538,NA,217013
NY,13,NEW YORK,7,1956,105852,48564,NA,154416
NY,13,NEW YORK,8,1956,47456,42696,NA,90152
NY,13,NEW YORK,9,1956,58894,57459,NA,116353
NY,13,NEW YORK,10,1956,49328,81687,NA,131015
NY,13,NEW YORK,11,1956,48988,104921,NA,153909
NY,13,NEW YORK,12,1956,84813,43317,NA,128130
NY,13,NEW YORK,13,1956,57041,88574,NA,145615
NY,13,NEW YORK,14,1956,62768,54826,NA,117594
NY,13,NEW YORK,15,1956,128590,33370,NA,161960
NY,13,NEW YORK,16,1956,31325,54424,NA,85749
NY,13,NEW YORK,17,1956,82232,49627,NA,131859
NY,13,NEW YORK,18,1956,44287,37825,NA,82112
NY,13,NEW YORK,19,1956,58088,55163,NA,113251
NY,13,NEW YORK,20,1956,51238,59704,NA,110942
NY,13,NEW YORK,21,1956,52988,66630,NA,119618
NY,13,NEW YORK,22,1956,46095,82109,NA,128204
NY,13,NEW YORK,23,1956,30163,65901,NA,96064
NY,13,NEW YORK,24,1956,68301,84040,NA,152341
NY,13,NEW YORK,25,1956,112928,58067,NA,170995
NY,13,NEW YORK,26,1956,147662,52472,NA,200134
NY,13,NEW YORK,27,1956,137142,47421,NA,184563
NY,13,NEW YORK,28,1956,124997,40358,NA,165355
NY,13,NEW YORK,29,1956,138991,37770,NA,176761
NY,13,NEW YORK,30,1956,110960,73401,NA,184361
NY,13,NEW YORK,31,1956,129476,34952,NA,164428
NY,13,NEW YORK,32,1956,119565,41906,NA,161471
NY,13,NEW YORK,33,1956,110370,35566,NA,145936
NY,13,NEW YORK,34,1956,120979,46108,NA,167087
NY,13,NEW YORK,35,1956,137852,48416,NA,186268
NY,13,NEW YORK,36,1956,123090,35853,NA,158943
NY,13,NEW YORK,37,1956,146154,45708,NA,191862
NY,13,NEW YORK,38,1956,129689,58751,NA,188440
NY,13,NEW YORK,39,1956,119006,46695,NA,165701
NY,13,NEW YORK,40,1956,124684,60308,NA,184992
NY,13,NEW YORK,41,1956,97445,59569,NA,157014
NY,13,NEW YORK,42,1956,132961,69747,NA,202708
NY,13,NEW YORK,43,1956,101022,36439,NA,137461
NC,47,NORTH CAROLINA,1,1956,13206,39422,NA,52628
NC,47,NORTH CAROLINA,2,1956,11736,44498,NA,56234
NC,47,NORTH CAROLINA,3,1956,23779,41292,NA,65071
NC,47,NORTH CAROLINA,4,1956,42402,65023,NA,107425
NC,47,NORTH CAROLINA,5,1956,56108,45597,NA,101705
NC,47,NORTH CAROLINA,6,1956,62496,51555,NA,114051
NC,47,NORTH CAROLINA,7,1956,30093,52226,NA,82319
NC,47,NORTH CAROLINA,8,1956,57928,53867,NA,111795
NC,47,NORTH CAROLINA,9,1956,79339,49359,NA,128698
NC,47,NORTH CAROLINA,10,1956,90453,54526,NA,144979
NC,47,NORTH CAROLINA,11,1956,48797,44863,NA,93660
NC,47,NORTH CAROLINA,12,1956,58725,48302,NA,107027
ND,36,NORTH DAKOTA,1,1956,156766,96742,NA,253508
ND,36,NORTH DAKOTA,2,1956,0,0,NA,0
OH,24,OHIO,1,1956,102212,53329,NA,155541
OH,24,OHIO,2,1956,119693,60402,NA,180095
OH,24,OHIO,3,1956,149063,100601,NA,249664
OH,24,OHIO,4,1956,100430,46208,NA,146638
OH,24,OHIO,5,1956,84541,36208,NA,120749
OH,24,OHIO,6,1956,86883,56316,NA,143199
OH,24,OHIO,7,1956,99884,51721,NA,151605
OH,24,OHIO,8,1956,84070,34133,NA,118203
OH,24,OHIO,9,1956,100501,88598,NA,189099
OH,24,OHIO,10,1956,68710,37130,NA,105840
OH,24,OHIO,11,1956,113364,70476,NA,183840
OH,24,OHIO,12,1956,151544,78852,NA,230396
OH,24,OHIO,13,1956,82328,43155,NA,125483
OH,24,OHIO,14,1956,118027,99743,NA,217770
OH,24,OHIO,15,1956,66183,31437,NA,97620
OH,24,OHIO,16,1956,123012,69337,NA,192349
OH,24,OHIO,17,1956,97392,44332,NA,141724
OH,24,OHIO,18,1956,81535,60631,NA,142166
OH,24,OHIO,19,1956,79660,72422,NA,152082
OH,24,OHIO,20,1956,89900,88651,NA,178551
OH,24,OHIO,21,1956,65578,94543,NA,160121
OH,24,OHIO,22,1956,88064,69473,NA,157537
OH,24,OHIO,23,1956,109932,51891,NA,161823
OK,53,OKLAHOMA,1,1956,136387,70942,NA,207329
OK,53,OKLAHOMA,2,1956,80430,66848,NA,147278
OK,53,OKLAHOMA,3,1956,32840,52219,NA,85059
OK,53,OKLAHOMA,4,1956,52537,49153,NA,101690
OK,53,OKLAHOMA,5,1956,104794,76827,NA,181621
OK,53,OKLAHOMA,6,1956,66781,69592,NA,136373
OR,72,OREGON,1,1956,120823,84399,NA,205222
OR,72,OREGON,2,1956,57667,48622,NA,106289
OR,72,OREGON,3,1956,129658,115896,NA,245554
OR,72,OREGON,4,1956,98245,80287,NA,178532
PA,14,PENNSYLVANIA,1,1956,46544,72556,NA,119100
PA,14,PENNSYLVANIA,2,1956,61765,93420,NA,155185
PA,14,PENNSYLVANIA,3,1956,50108,69588,NA,119696
PA,14,PENNSYLVANIA,4,1956,35105,76534,NA,111639
PA,14,PENNSYLVANIA,5,1956,97885,104526,NA,202411
PA,14,PENNSYLVANIA,6,1956,89580,107021,NA,196601
PA,14,PENNSYLVANIA,7,1956,143663,82024,NA,225687
PA,14,PENNSYLVANIA,8,1956,110426,67608,NA,178034
PA,14,PENNSYLVANIA,9,1956,116251,46495,NA,162746
PA,14,PENNSYLVANIA,10,1956,96869,67751,NA,164620
PA,14,PENNSYLVANIA,11,1956,92458,65155,NA,157613
PA,14,PENNSYLVANIA,12,1956,80253,48786,NA,129039
PA,14,PENNSYLVANIA,13,1956,133270,59095,NA,192365
PA,14,PENNSYLVANIA,14,1956,57258,42349,NA,99607
PA,14,PENNSYLVANIA,15,1956,66606,48977,NA,115583
PA,14,PENNSYLVANIA,16,1956,95667,45987,NA,141654
PA,14,PENNSYLVANIA,17,1956,86507,41877,NA,128384
PA,14,PENNSYLVANIA,18,1956,85540,45579,NA,131119
PA,14,PENNSYLVANIA,19,1956,89894,58675,NA,148569
PA,14,PENNSYLVANIA,20,1956,66554,37838,NA,104392
PA,14,PENNSYLVANIA,21,1956,66580,72616,NA,139196
PA,14,PENNSYLVANIA,22,1956,85021,65692,NA,150713
PA,14,PENNSYLVANIA,23,1956,77558,32911,NA,110469
PA,14,PENNSYLVANIA,24,1956,102102,62917,NA,165019
PA,14,PENNSYLVANIA,25,1956,89538,69968,NA,159506
PA,14,PENNSYLVANIA,26,1956,74884,96191,NA,171075
PA,14,PENNSYLVANIA,27,1956,117626,73645,NA,191271
PA,14,PENNSYLVANIA,28,1956,70115,85474,NA,155589
PA,14,PENNSYLVANIA,29,1956,114146,62110,NA,176256
PA,14,PENNSYLVANIA,30,1956,80510,93476,NA,173986
RI,5,RHODE ISLAND,1,1956,104093,76198,NA,180291
RI,5,RHODE ISLAND,2,1956,121726,85592,NA,207318
SC,48,SOUTH CAROLINA,1,1956,11980,9780,NA,21760
SC,48,SOUTH CAROLINA,2,1956,17912,18661,NA,36573
SC,48,SOUTH CAROLINA,3,1956,8323,28833,NA,37156
SC,48,SOUTH CAROLINA,4,1956,20203,35942,NA,56145
SC,48,SOUTH CAROLINA,5,1956,9864,24266,NA,34130
SC,48,SOUTH CAROLINA,6,1956,7418,18890,NA,26308
SD,37,SOUTH DAKOTA,1,1956,130802,96618,NA,227420
SD,37,SOUTH DAKOTA,2,1956,40767,25670,NA,66437
TN,54,TENNESSEE,1,1956,96339,40426,NA,136765
TN,54,TENNESSEE,2,1956,93538,56971,NA,150509
TN,54,TENNESSEE,3,1956,63203,49990,NA,113193
TN,54,TENNESSEE,4,1956,37531,63929,NA,101460
TN,54,TENNESSEE,5,1956,37077,56822,NA,93899
TN,54,TENNESSEE,6,1956,25410,58123,NA,83533
TN,54,TENNESSEE,7,1956,28182,30820,NA,59002
TN,54,TENNESSEE,8,1956,15318,37375,NA,52693
TN,54,TENNESSEE,9,1956,65690,62051,NA,127741
TX,49,TEXAS,1,1956,28878,29571,NA,58449
TX,49,TEXAS,2,1956,56019,49529,NA,105548
TX,49,TEXAS,3,1956,37718,25121,NA,62839
TX,49,TEXAS,4,1956,21543,27057,NA,48600
TX,49,TEXAS,5,1956,125361,65472,NA,190833
TX,49,TEXAS,6,1956,20295,25948,NA,46243
TX,49,TEXAS,7,1956,26366,22502,NA,48868
TX,49,TEXAS,8,1956,155555,93961,NA,249516
TX,49,TEXAS,9,1956,64413,46149,NA,110562
TX,49,TEXAS,10,1956,38956,37175,NA,76131
TX,49,TEXAS,11,1956,27314,35469,NA,62783
TX,49,TEXAS,12,1956,74687,52051,NA,126738
TX,49,TEXAS,13,1956,36589,37956,NA,74545
TX,49,TEXAS,14,1956,54906,49515,NA,104421
TX,49,TEXAS,15,1956,37352,34702,NA,72054
TX,49,TEXAS,16,1956,47619,33401,NA,81020
TX,49,TEXAS,17,1956,31069,27194,NA,58263
TX,49,TEXAS,18,1956,46088,40950,NA,87038
TX,49,TEXAS,19,1956,42090,54164,NA,96254
TX,49,TEXAS,20,1956,65901,46790,NA,112691
TX,49,TEXAS,21,1956,41900,25281,NA,67181
TX,49,TEXAS,22,1956,0,0,NA,0
UT,67,UTAH,1,1956,79569,43846,NA,123415
UT,67,UTAH,2,1956,136062,74518,NA,210580
VT,6,VERMONT,1,1956,110390,42549,NA,152939
VA,40,VIRGINIA,1,1956,34783,24555,NA,59338
VA,40,VIRGINIA,2,1956,30119,28151,NA,58270
VA,40,VIRGINIA,3,1956,46893,20052,NA,66945
VA,40,VIRGINIA,4,1956,23029,23522,NA,46551
VA,40,VIRGINIA,5,1956,30379,24492,NA,54871
VA,40,VIRGINIA,6,1956,52140,26622,NA,78762
VA,40,VIRGINIA,7,1956,36440,19255,NA,55695
VA,40,VIRGINIA,8,1956,32462,19856,NA,52318
VA,40,VIRGINIA,9,1956,47480,40264,NA,87744
VA,40,VIRGINIA,10,1956,52724,40991,NA,93715
WA,73,WASHINGTON,1,1956,131806,113158,NA,244964
WA,73,WASHINGTON,2,1956,110151,91066,NA,201217
WA,73,WASHINGTON,3,1956,78530,72392,NA,150922
WA,73,WASHINGTON,4,1956,91711,66881,NA,158592
WA,73,WASHINGTON,5,1956,88553,73216,NA,161769
WA,73,WASHINGTON,6,1956,112530,102520,NA,215050
WA,73,WASHINGTON,7,1956,0,0,NA,0
WV,56,WEST VIRGINIA,1,1956,72961,60330,NA,133291
WV,56,WEST VIRGINIA,2,1956,71881,52461,NA,124342
WV,56,WEST VIRGINIA,3,1956,67558,58057,NA,125615
WV,56,WEST VIRGINIA,4,1956,90727,61526,NA,152253
WV,56,WEST VIRGINIA,5,1956,55671,60687,NA,116358
WV,56,WEST VIRGINIA,6,1956,90699,88473,NA,179172
WI,25,WISCONSIN,1,1956,106125,62110,NA,168235
WI,25,WISCONSIN,2,1956,115213,70701,NA,185914
WI,25,WISCONSIN,3,1956,78470,45113,NA,123583
WI,25,WISCONSIN,4,1956,120379,90720,NA,211099
WI,25,WISCONSIN,5,1956,106874,86566,NA,193440
WI,25,WISCONSIN,6,1956,100473,44280,NA,144753
WI,25,WISCONSIN,7,1956,86995,43584,NA,130579
WI,25,WISCONSIN,8,1956,107626,47385,NA,155011
WI,25,WISCONSIN,9,1956,73079,50072,NA,123151
WI,25,WISCONSIN,10,1956,59620,46237,NA,105857
WY,68,WYOMING,1,1956,74573,49554,NA,124127
AL,41,ALABAMA,1,1960,30765,40145,NA,70910
AL,41,ALABAMA,2,1960,24339,37915,NA,62254
AL,41,ALABAMA,3,1960,15686,28136,NA,43822
AL,41,ALABAMA,4,1960,20694,29037,NA,49731
AL,41,ALABAMA,5,1960,23703,45237,NA,68940
AL,41,ALABAMA,6,1960,15497,19309,NA,34806
AL,41,ALABAMA,7,1960,26860,32897,NA,59757
AL,41,ALABAMA,8,1960,20433,46693,NA,67126
AL,41,ALABAMA,9,1960,60004,44681,NA,104685
AK,81,ALASKA,1,1960,30953,29809,NA,60762
AZ,61,ARIZONA,1,1960,127090,86834,NA,213924
AZ,61,ARIZONA,2,1960,94151,89947,NA,184098
AR,42,ARKANSAS,1,1960,26381,30248,NA,56629
AR,42,ARKANSAS,2,1960,19095,24261,NA,43356
AR,42,ARKANSAS,3,1960,56001,39344,NA,95345
AR,42,ARKANSAS,4,1960,27755,42537,NA,70292
AR,42,ARKANSAS,5,1960,30634,38311,NA,68945
AR,42,ARKANSAS,6,1960,24642,40348,NA,64990
CA,71,CALIFORNIA,1,1960,121961,106523,NA,228484
CA,71,CALIFORNIA,2,1960,86528,92357,NA,178885
CA,71,CALIFORNIA,3,1960,113577,137109,NA,250686
CA,71,CALIFORNIA,4,1960,97282,101872,NA,199154
CA,71,CALIFORNIA,5,1960,45719,95862,NA,141581
CA,71,CALIFORNIA,6,1960,102055,120794,NA,222849
CA,71,CALIFORNIA,7,1960,68908,77162,NA,146070
CA,71,CALIFORNIA,8,1960,114064,139815,NA,253879
CA,71,CALIFORNIA,9,1960,104570,97154,NA,201724
CA,71,CALIFORNIA,10,1960,159649,137202,NA,296851
CA,71,CALIFORNIA,11,1960,78654,73157,NA,151811
CA,71,CALIFORNIA,12,1960,75789,95835,NA,171624
