abv,icpsr,state,district,year,rep,dem,other,total
AL,41,ALABAMA,1,1956,25386,26785,NA,52171
AL,41,ALABAMA,2,1956,20905,28243,NA,49148
AL,41,ALABAMA,3,1956,11496,25807,NA,37303
AL,41,ALABAMA,4,1956,18578,26455,NA,45033
AL,41,ALABAMA,5,1956,22765,41925,NA,64690
AL,41,ALABAMA,6,1956,14042,18010,NA,32052
AL,41,ALABAMA,7,1956,24929,30269,NA,55198
AL,41,ALABAMA,8,1956,13898,44746,NA,58644
AL,41,ALABAMA,9,1956,43695,38604,NA,82299
AZ,61,ARIZONA,1,1956,92140,54010,NA,146150
AZ,61,ARIZONA,2,1956,84850,58870,NA,143720
AR,42,ARKANSAS,1,1956,23366,33978,NA,57344
AR,42,ARKANSAS,2,1956,16731,24505,NA,41236
AR,42,ARKANSAS,3,1956,49666,37929,NA,87595
AR,42,ARKANSAS,4,1956,30609,43699,NA,74308
AR,42,ARKANSAS,5,1956,33957,34898,NA,68855
AR,42,ARKANSAS,6,1956,31958,38268,NA,70226
CA,71,CALIFORNIA,1,1956,117398,78069,NA,195467
CA,71,CALIFORNIA,2,1956,81411,74300,NA,155711
CA,71,CALIFORNIA,3,1956,94079,105012,NA,199091
CA,71,CALIFORNIA,4,1956,114783,78099,NA,192882
CA,71,CALIFORNIA,5,1956,58865,83667,NA,142532
CA,71,CALIFORNIA,6,1956,92836,96636,NA,189472
CA,71,CALIFORNIA,7,1956,80822,67813,NA,148635
CA,71,CALIFORNIA,8,1956,112089,106220,NA,218309
CA,71,CALIFORNIA,9,1956,100049,63637,NA,163686
CA,71,CALIFORNIA,10,1956,131018,87303,NA,218321
CA,71,CALIFORNIA,11,1956,71186,64981,NA,136167
CA,71,CALIFORNIA,12,1956,68280,87762,NA,156042
CA,71,CALIFORNIA,13,1956,103373,74540,NA,177913
CA,71,CALIFORNIA,14,1956,78466,75357,NA,153823
CA,71,CALIFORNIA,15,1956,94739,77966,NA,172705
CA,71,CALIFORNIA,16,1956,83544,51181,NA,134725
CA,71,CALIFORNIA,17,1956,129811,116263,NA,246074
CA,71,CALIFORNIA,18,1956,101583,72446,NA,174029
CA,71,CALIFORNIA,19,1956,64187,101097,NA,165284
