state,ecvotes,dem,rep,other
Alabama,11,250726,42184,1309
Arizona,3,95267,54030,742
Arkansas,9,158622,42121,0
California,22,1877618,1351419,39754
Colorado,6,265554,279576,3874
Connecticut,8,417621,361819,2062
Delaware,3,74599,61440,335
Florida,7,359334,126158,0
Georgia,12,265194,46360,997
Idaho,4,127842,106553,773
Illinois,29,2149934,2047240,20761
Indiana,14,874063,899466,9218
Iowa,11,578800,632370,4260
Kansas,9,364725,489169,6403
Kentucky,11,557322,410384,2457
Louisiana,10,319751,52446,108
Maine,5,156478,163951,411
Maryland,8,384546,269534,6037
Massachusetts,17,1076522,939700,10771
Michigan,19,1032991,1039917,13021
Minnesota,11,644196,596274,10718
Mississippi,9,168267,7364,193
Missouri,15,958476,871009,4244
Montana,4,145698,99579,2596
Nebraska,7,263677,352201,0
Nevada,3,31945,21229,0
New Hampshire,4,125292,110127,0
New Jersey,16,1016808,945475,10269
New Mexico,3,103699,79315,244
New York,47,3251918,3027478,34501
North Carolina,13,609015,213633,0
North Dakota,4,124036,154590,2149
Ohio,26,1733139,1586773,0
Oklahoma,11,474313,348872,3027
Oregon,5,258415,219555,3270
Pennsylvania,36,2171035,1889848,17831
Rhode Island,4,182182,138653,313
South Carolina,8,95470,4360,2
South Dakota,4,131362,177065,0
Tennessee,11,351601,169153,2069
Texas,23,909974,212692,1865
Utah,4,154277,93151,391
Vermont,3,64269,78371,422
Virginia,11,235961,109363,1283
Washington,8,462145,322123,9565
West Virginia,8,495662,372414,0
Wisconsin,12,704821,679206,21495
Wyoming,3,59287,52633,320
