state,ecvotes,rep,dem,other
Alabama,9,872849,551899,16965
Alaska,3,138377,62007,7221
Arizona,7,681416,333854,10627
Arkansas,6,534774,338646,10986
California,47,5467009,3922519,115895
Colorado,8,821818,454974,18589
Connecticut,8,890877,569597,6426
Delaware,3,152190,101656,726
D. C.,3,29009,180408,1871
Florida,21,2730350,1448816,885
Georgia,12,1068722,706628,743
Hawaii,4,185050,147154,3642
Idaho,4,297523,108510,5111
Illinois,24,2707103,2086499,25486
Indiana,12,1377230,841481,14358
Iowa,8,703088,605620,11097
Kansas,7,677296,333149,11546
Kentucky,9,822782,539589,8090
Louisiana,10,1037299,651586,17937
Maine,4,336500,214515,2129
Maryland,10,879918,787935,8020
Massachusetts,13,1310936,1239606,8911
Michigan,20,2251571,1529638,20449
Minnesota,10,1032603,1036364,15482
Mississippi,7,581477,352192,6523
Missouri,11,1274188,848583,0
Montana,4,232450,146742,5185
Nebraska,5,460054,187866,4170
Nevada,4,188770,91655,6242
New Hampshire,4,267051,120395,1508
New Jersey,16,1933630,1261323,22909
New Mexico,5,307101,201769,5500
New York,36,3664763,3119609,22438
North Carolina,13,1346481,824287,4593
North Dakota,3,200336,104429,4206
Ohio,23,2678560,1825440,43619
Oklahoma,8,861530,385080,9066
Oregon,7,685700,536479,4348
Pennsylvania,25,2584323,2228131,32449
Rhode Island,4,212080,197106,1306
South Carolina,8,615539,344470,8531
South Dakota,3,200267,116113,1487
Tennessee,11,990212,711714,10067
Texas,29,3433428,1949276,14867
Utah,5,469105,155369,5182
Vermont,3,135865,95730,2966
Virginia,12,1337078,796250,13307
Washington,10,1051670,807352,24888
West Virginia,6,405483,328125,2134
Wisconsin,11,1198800,995847,17369
Wyoming,3,133241,53370,2357
