state,ecvotes,dem,rep,socialist,other
Alabama,11,207910,34675,2030,739
Arizona,3,79264,36104,2618,265
Arkansas,9,189602,28467,1269,1224
California,22,1324157,847902,63299,32608
Colorado,6,250877,189617,13591,3611
Connecticut,8,281632,288420,20480,3651
Delaware,3,54319,57073,1376,133
Florida,7,206307,69170,775,0
Georgia,12,234118,19863,461,1148
Idaho,4,109479,71417,526,5203
Illinois,29,1882304,1432756,67258,25608
Indiana,14,862054,677184,21388,16301
Iowa,11,598019,414433,20467,3768
Kansas,9,424204,349498,18276,0
Kentucky,11,580574,394716,3853,3920
Louisiana,10,249418,18853,0,533
Maine,5,128907,166631,2489,417
Maryland,8,314314,184184,10489,2067
Massachusetts,17,800148,736959,34305,8702
Michigan,19,871700,739894,39205,13966
Minnesota,11,600806,363959,25476,12602
Mississippi,9,140168,5180,686,0
Missouri,15,1025406,564713,16374,3401
Montana,4,127286,78078,7891,3224
Nebraska,7,359082,201177,9876,2
Nevada,3,28756,12674,0,0
New Hampshire,4,100680,103629,947,264
New Jersey,16,806630,775684,42998,4751
New Mexico,3,95089,54217,1776,524
New York,47,2534959,1937963,177397,38295
North Carolina,13,497566,208344,5591,0
North Dakota,4,178350,71772,3521,2647
Ohio,26,1301695,1227319,64094,16620
Oklahoma,11,516468,188165,0,0
Oregon,5,213871,136019,15450,3468
Pennsylvania,36,1295948,1453540,91223,18466
Rhode Island,4,146604,115266,3138,1162
South Carolina,8,102347,1978,82,0
South Dakota,4,183515,99212,1551,4160
Tennessee,11,259473,126752,1796,2235
Texas,23,760348,97959,4450,669
Utah,4,116750,84795,4087,946
Vermont,3,56266,78984,1533,197
Virginia,11,203979,89637,2382,1944
Washington,8,353260,208645,17080,35829
West Virginia,8,405124,330731,5133,2786
Wisconsin,12,707410,347741,53379,6278
Wyoming,3,54370,39583,2829,180
