state,ecvotes,dem,rep,other
Alabama,9,813479,1266546,19794
Alaska,3,123594,193841,8762
Arizona,10,1034707,1230111,39020
Arkansas,6,422310,638017,26290
California,55,8274473,5011781,296829
Colorado,9,1288633,1073629,39200
Connecticut,7,997773,629428,19592
Delaware,3,255459,152374,4783
D. C.,3,245800,17367,2686
Florida,27,4282367,4046219,83662
Georgia,15,1844123,2048759,39276
Hawaii,4,325871,120566,7131
Idaho,4,236440,403012,19002
Illinois,21,3419348,2031179,79652
Indiana,11,1374039,1345648,36971
Iowa,7,828940,682379,25804
Kansas,6,514765,699655,24453
Kentucky,8,751985,1048462,27140
Louisiana,9,782989,1148275,29497
Maine,4,421923,295273,13967
Maryland,10,1629467,959862,42267
Massachusetts,12,1904098,1108854,68117
Michigan,17,2872579,2048639,89388
Minnesota,10,1573354,1275409,61606
Mississippi,6,554662,724597,10680
Missouri,11,1441911,1445814,41386
Montana,3,232159,243882,16709
Nebraska,5,333319,452979,14983
Nevada,5,533736,412827,21285
New Hampshire,4,384826,316534,9610
New Jersey,15,2215422,1613207,48778
New Mexico,5,472422,346832,10904
New York,31,4804945,2752771,83232
North Carolina,15,2142651,2128474,39664
North Dakota,3,141403,168887,7448
Ohio,20,2940044,2677820,103967
Oklahoma,7,502496,960165,0
Oregon,7,1037291,738475,52098
Pennsylvania,21,3276363,2655885,83228
Rhode Island,4,296571,165391,9804
South Carolina,8,862449,1034896,23624
South Dakota,3,170924,203054,7997
Tennessee,11,1087437,1479178,35367
Texas,34,3528633,4479328,79830
Utah,5,327670,596030,35296
Vermont,3,219262,98974,6810
Virginia,13,1959532,1725005,38723
Washington,11,1750848,1229216,73197
West Virginia,5,303857,397466,13800
Wisconsin,10,1677211,1262393,43813
Wyoming,3,82868,164958,6832
