state,ecvotes,dem,rep,other
Alabama,10,92736,59444,1444
Arkansas,7,72734,51198,1847
California,8,89288,102369,5331
Colorado,3,27723,36084,2712
Connecticut,6,67182,65898,4177
Delaware,3,16957,12953,74
Florida,4,31769,28031,190
Georgia,12,94667,48603,340
Illinois,22,312351,337469,22850
Indiana,15,245005,238489,11838
Iowa,13,177316,197089,2796
Kansas,9,90132,154406,21310
Kentucky,13,152961,118690,4830
Louisiana,8,62594,46347,458
Maine,6,52153,72217,6121
Maryland,8,96866,85748,3405
Massachusetts,14,122352,146724,34307
Michigan,13,189361,192669,19156
Minnesota,7,70065,111685,8267
Mississippi,9,77653,43035,0
Missouri,16,236023,203081,2164
Nebraska,5,54391,76912,2899
Nevada,3,5578,7193,26
New Hampshire,4,39198,43254,2134
New Jersey,9,127798,123440,9683
New York,36,563154,562005,42010
North Carolina,11,142905,125021,430
Ohio,23,368280,400082,16248
Oregon,3,24604,26860,1218
Pennsylvania,30,392785,478804,32275
Rhode Island,4,12391,19030,1350
South Carolina,9,69845,21730,1237
Tennessee,12,133770,124101,2107
Texas,13,225309,93141,6855
Vermont,4,17331,39514,2556
Virginia,12,145491,139356,130
West Virginia,6,67311,63096,1738
Wisconsin,11,146453,161135,12247
