state,ecvotes,dem,whig,liberty,other
Alabama,9,37401,26002,0,0
Arkansas,3,9546,5604,0,0
Connecticut,6,29841,32832,1943,0
Delaware,3,5970,6271,0,6
Georgia,10,44147,42100,0,0
Illinois,9,58795,45854,3469,939
Indiana,12,70181,67867,2106,0
Kentucky,12,51988,61249,0,0
Louisiana,6,13782,13083,0,0
Maine,9,45719,34378,4836,0
Maryland,8,32706,35984,0,0
Massachusetts,12,53039,67062,10830,1106
Michigan,5,27737,24375,3639,0
Mississippi,6,25846,19158,0,0
Missouri,7,41322,31200,0,0
New Hampshire,6,27160,17866,4161,0
New Jersey,7,37495,38318,131,0
New York,36,237588,232482,15812,0
North Carolina,11,39287,43232,0,2
Ohio,23,149061,155113,8050,0
Pennsylvania,26,167447,161125,3000,0
Rhode Island,4,4867,7322,107,0
Tennessee,13,59917,60040,0,0
Vermont,6,18049,26780,3970,30
Virginia,17,50679,44860,0,0
