state,ecvotes,rep,dem,independent,other
Alabama,9,654192,636730,16481,34526
Alaska,3,86112,41842,11155,19336
Arizona,6,529688,246843,76952,20462
Arkansas,6,403164,398041,22468,13909
California,45,4524858,3083661,739833,238711
Colorado,7,652264,367973,130633,33545
Connecticut,8,677210,541732,171807,15536
Delaware,3,111252,105754,16288,2374
D. C.,3,23313,130231,16131,4214
Florida,17,2046951,1419475,189692,30908
Georgia,12,654168,890733,36055,16511
Hawaii,4,130112,135879,32021,5275
Idaho,4,290699,110192,27058,9482
Illinois,26,2358049,1981413,346754,63505
Indiana,13,1255656,844197,111639,30541
Iowa,8,676026,508672,115633,17330
Kansas,7,566812,326150,68231,18602
Kentucky,9,635274,616417,31127,11809
Louisiana,10,792853,708453,26345,20940
Maine,4,238522,220974,53327,10188
Maryland,10,680606,726161,119537,14192
Massachusetts,14,1057631,1053802,382539,30326
Michigan,21,1915225,1661532,275223,57745
Minnesota,10,873241,954174,174990,49548
Mississippi,7,441089,429281,12036,10214
Missouri,12,1074181,931182,77920,16541
Montana,4,206814,118032,29281,9825
Nebraska,5,419937,166851,44993,9073
Nevada,3,155017,66666,17651,8551
New Hampshire,4,221705,108864,49693,3737
New Jersey,17,1546557,1147364,234632,47131
New Mexico,4,250779,167826,29459,8173
New York,41,2893831,2728372,467801,111955
North Carolina,13,915018,875635,52800,12380
North Dakota,3,193695,79189,23640,5021
Ohio,25,2206545,1752414,254472,70172
Oklahoma,8,695570,402026,38284,13828
Oregon,6,571044,456890,112389,41193
Pennsylvania,27,2261872,1937540,292921,69168
Rhode Island,4,154793,198342,59819,3118
South Carolina,8,441207,427560,14150,7166
South Dakota,4,198343,103855,21431,4074
Tennessee,10,787761,783051,35991,10813
Texas,26,2510705,1881147,111613,38172
Utah,4,439687,124266,30284,9985
Vermont,3,94598,81891,31760,4958
Virginia,12,989609,752174,95418,28831
Washington,9,865244,650193,185073,41884
West Virginia,6,334206,367462,31691,4356
Wisconsin,11,1088845,981584,160657,42135
Wyoming,3,110700,49427,12072,4514
