state,ecvotes,rep,dem,other
Alabama,11,55673,130298,8609
Arkansas,8,37512,110103,1732
California,9,146688,144766,6965
Colorado,4,26271,161005,2263
Connecticut,6,110285,56740,7365
Delaware,3,20450,16574,1432
Florida,4,11298,32756,2434
Georgia,13,59395,93885,9200
Idaho,3,6314,23135,172
Illinois,24,607130,465613,18126
Indiana,15,323754,305573,7792
Iowa,13,289293,223741,8513
Kansas,10,159345,171675,3527
Kentucky,13,218171,217894,9863
Louisiana,8,22037,77175,1834
Maine,6,80403,34587,3429
Maryland,8,136959,104150,9140
Massachusetts,15,278976,105711,16881
Michigan,14,293336,237166,15083
Minnesota,9,193503,139735,8524
Mississippi,9,4819,63355,1417
Missouri,17,304940,363667,5299
Montana,3,10509,42628,193
Nebraska,8,103064,115007,5111
Nevada,3,1938,8376,0
New Hampshire,4,57444,21650,4576
New Jersey,10,221535,133695,15981
New York,36,819838,551369,52669
North Carolina,11,155122,174408,1807
North Dakota,3,26335,20686,370
Ohio,23,525991,477497,10807
Oregon,4,48779,46739,1896
Pennsylvania,32,728300,433228,32827
Rhode Island,4,37437,14459,2889
South Carolina,9,9313,58801,824
South Dakota,4,41042,41225,683
Tennessee,12,148683,167168,5052
Texas,15,167520,370434,6832
Utah,3,13491,64607,21
Vermont,4,51127,10640,2080
Virginia,12,135379,154708,4587
Washington,4,39153,53314,1116
West Virginia,6,105379,94480,1898
Wisconsin,12,268135,165523,13751
Wyoming,3,10072,10861,159
