state,ecvotes,dem,rep,independent,other
Alabama,9,690080,804283,183109,10588
Alaska,3,78294,102000,73481,4731
Arizona,8,543050,572086,353741,18129
Arkansas,6,505823,337324,99132,8374
California,54,5121325,3630574,2296006,83816
Colorado,8,629681,562850,366010,10639
Connecticut,8,682318,578313,348771,6930
Delaware,3,126054,102313,59213,2155
D. C.,3,192619,20698,9681,4574
Florida,25,2072698,2173310,1053067,15317
Georgia,13,1008966,995252,309657,7258
Hawaii,4,179310,136822,53003,3707
Idaho,4,137013,202645,130395,12089
Illinois,22,2453350,1734096,840515,22196
Indiana,12,848420,989375,455934,12142
Iowa,7,586353,504891,253468,9895
Kansas,6,390434,449951,312358,4493
Kentucky,8,665104,617178,203944,6674
Louisiana,9,815971,733386,211478,29182
Maine,4,263420,206504,206820,2755
Maryland,10,988571,707094,281414,7967
Massachusetts,12,1318662,805049,632312,17551
Michigan,18,1871182,1554940,824813,23738
Minnesota,10,1020997,747841,562506,16604
Mississippi,7,400258,487793,85626,8116
Missouri,11,1053873,811159,518741,7792
Montana,3,154507,144207,107225,4672
Nebraska,5,217344,344346,174687,2906
Nevada,4,189148,175828,132580,8762
New Hampshire,4,209040,202484,121337,5084
New Jersey,15,1436206,1356865,521829,28694
New Mexico,5,261617,212824,91895,3650
New York,33,3444450,2346649,1090721,45105
North Carolina,14,1114042,1134661,357864,5283
North Dakota,3,99168,136244,71084,1637
Ohio,21,1984942,1894310,1036426,24286
Oklahoma,8,473066,592929,319878,4486
Oregon,7,621314,475757,354091,11481
Pennsylvania,23,2239164,1791841,902667,26138
Rhode Island,4,213299,131601,105045,3533
South Carolina,8,479514,577507,138872,6634
South Dakota,3,124888,136718,73295,1353
Tennessee,11,933521,841300,199968,7849
Texas,32,2281815,2496071,1354781,21351
Utah,5,183429,322632,203400,34608
Vermont,3,133592,88122,65991,1996
Virginia,13,1038650,1150517,348639,20859
Washington,11,993037,731234,541780,22179
West Virginia,5,331001,241974,108829,1907
Wisconsin,11,1041066,930855,544479,14714
Wyoming,3,68160,79347,51263,1855
