state,ecvotes,dem,rep,socialist,other
Alabama,12,99409,28662,1916,741
Arizona,3,33170,20524,3174,1153
Arkansas,9,112211,48879,6999,2015
California,13,466289,462516,42898,27900
Colorado,6,178816,102308,10049,3202
Connecticut,7,99786,106514,5179,2395
Delaware,3,24753,26011,480,566
Florida,6,55984,14611,5353,4786
Georgia,14,127754,11294,941,20692
Idaho,4,70054,55368,8066,1127
Illinois,29,950229,1152549,61394,28535
Indiana,15,334063,341005,21855,21925
Iowa,13,221699,280439,10976,3830
Kansas,10,314588,277658,24685,12882
Kentucky,13,269990,241854,4734,3497
Louisiana,10,79875,6466,292,6349
Maine,6,64033,69508,2177,596
Maryland,8,138359,117347,2674,3659
Massachusetts,18,247894,268784,11058,4096
Michigan,15,286775,339097,16120,8981
Minnesota,12,179152,179544,20117,8551
Mississippi,10,80422,4253,1484,520
Missouri,18,398032,369339,14612,4786
Montana,4,101063,66750,9564,302
Nebraska,8,158827,117771,7141,3576
Nevada,3,17776,12127,3065,348
New Hampshire,4,43781,43725,1318,303
New Jersey,14,211018,268982,10405,4037
New Mexico,3,33527,31152,1996,112
New York,45,759426,879238,45944,21697
North Carolina,12,168383,120890,509,53
North Dakota,5,55206,53471,5716,997
Ohio,24,604161,514753,38092,8080
Oklahoma,10,148113,97233,45190,1880
Oregon,5,120087,126813,9711,5039
Pennsylvania,38,521784,703823,42638,29047
Rhode Island,5,40394,44858,1914,650
South Carolina,9,61846,1550,135,421
South Dakota,5,59191,64217,3760,1774
Tennessee,12,153280,116223,2542,145
Texas,20,286514,64999,18963,1985
Utah,4,84145,54137,4460,404
Vermont,4,22708,40250,798,719
Virginia,12,102824,49356,1062,750
Washington,7,183388,167208,22800,7598
West Virginia,8,140403,143124,6150,175
Wisconsin,13,191363,220822,27631,7318
Wyoming,3,28316,21698,1453,373
