state,ecvotes,rep,dem,other
Alabama,11,149231,275075,1814
Arizona,4,152042,108528,0
Arkansas,8,177155,226300,1345
California,32,3035587,2257646,48370
Colorado,6,379782,245504,4817
Connecticut,8,611012,481649,4250
Delaware,3,90059,83315,651
Florida,10,544036,444950,351
Georgia,12,198979,456823,1
Idaho,4,180707,95081,443
Illinois,27,2457327,2013920,9811
Indiana,13,1136259,801530,17536
Iowa,10,808906,451513,8354
Kansas,8,616302,273296,6568
Kentucky,10,495029,495729,2390
Louisiana,10,306925,345027,0
Maine,5,232353,118806,627
Maryland,9,499424,395337,7313
Massachusetts,16,1292325,1083525,7548
Michigan,20,1551529,1230657,16406
Minnesota,11,763211,608458,7814
Mississippi,8,112966,172566,0
Missouri,13,959429,929830,2803
Montana,4,157394,106213,1430
Nebraska,6,421603,188057,0
Nevada,3,50502,31688,0
New Hampshire,4,166287,106663,0
New Jersey,16,1374613,1015902,29039
New Mexico,4,132170,105661,777
New York,45,3952815,3104601,70825
North Carolina,14,558107,652803,0
North Dakota,4,191712,76694,1721
Ohio,25,2100391,1600367,0
Oklahoma,8,518045,430939,0
Oregon,6,420815,270579,3665
Pennsylvania,32,2415789,2146269,18911
Rhode Island,4,210935,203293,270
South Carolina,8,168082,173004,0
South Dakota,4,203857,90426,0
Tennessee,11,446147,443710,2696
Texas,24,1102878,969228,3840
Utah,4,194190,135364,0
Vermont,3,109717,43355,485
Virginia,12,349037,268677,1975
Washington,9,599107,492845,10756
West Virginia,8,419970,453578,0
Wisconsin,12,979744,622175,5451
Wyoming,3,81047,47934,270
