state,ecvotes,dem,rep,reform,other
Alabama,9,662165,769044,92149,10991
Alaska,3,80380,122746,26333,12161
Arizona,8,653288,622073,112072,16972
Arkansas,6,475171,325416,69884,13791
California,54,5119835,3828380,697847,373422
Colorado,8,671152,691848,99629,48075
Connecticut,8,735740,483109,139523,34242
Delaware,3,140355,99062,28719,2948
D. C.,3,158220,17339,3611,6556
Florida,25,2546870,2244536,483870,28518
Georgia,13,1053849,1080843,146337,18042
Hawaii,4,205012,113943,27358,13807
Idaho,4,165443,256595,62518,7163
Illinois,22,2341744,1587021,346408,36218
Indiana,12,887424,1006693,224299,17426
Iowa,7,620258,492644,105159,16014
Kansas,6,387659,583245,92639,10757
Kentucky,8,636614,623283,120396,8415
Louisiana,9,927837,712586,123293,20243
Maine,4,312788,186378,85970,20761
Maryland,10,966207,681530,115812,17321
Massachusetts,12,1571763,718107,227217,39698
Michigan,18,1989653,1481212,336670,41309
Minnesota,10,1120438,766476,257704,48022
Mississippi,7,394022,439838,52222,7775
Missouri,11,1025935,890016,217188,24926
Montana,3,167922,179652,55229,4458
Nebraska,5,236761,363467,71278,5909
Nevada,4,203974,199244,43986,17075
New Hampshire,4,246214,196532,48390,8039
New Jersey,15,1652329,1103078,262134,58266
New Mexico,5,273495,232751,32257,17571
New York,33,3756177,1933492,503458,123002
North Carolina,14,1107849,1225938,168059,13961
North Dakota,3,106905,125050,32515,1941
Ohio,21,2148222,1859883,483207,43122
Oklahoma,8,488105,582315,130788,5505
Oregon,7,649641,538152,121221,68746
Pennsylvania,23,2215819,1801169,430984,58146
Rhode Island,4,233050,104683,43723,8828
South Carolina,8,504051,573458,64386,7562
South Dakota,3,139333,150543,31250,2700
Tennessee,11,909146,863530,105918,15511
Texas,32,2459683,2736167,378537,37257
Utah,5,221633,361911,66461,15624
Vermont,3,137894,80352,31024,9179
Virginia,13,1091060,1138350,159861,27371
Washington,11,1123323,840712,201003,88799
West Virginia,5,327812,233946,71639,3062
Wisconsin,11,1071971,845029,227339,51830
Wyoming,3,77934,105388,25928,2321
