state,ecvotes,rep,dem,other
Alabama,9,1176394,693933,13122
Alaska,3,190889,111025,10684
Arizona,10,1104294,893524,18284
Arkansas,6,572898,469953,12094
California,55,5509826,6745485,166548
Colorado,9,1101256,1001725,27344
Connecticut,7,693826,857488,27455
Delaware,3,171660,200152,3458
D. C.,3,21256,202970,3360
Florida,27,3964522,3583544,61744
Georgia,15,1914254,1366149,24078
Hawaii,4,194191,231708,3114
Idaho,4,409235,181098,8114
Illinois,21,2345946,2891550,36826
Indiana,11,1479438,969011,19553
Iowa,7,751957,741898,13053
Kansas,6,736456,434993,16307
Kentucky,8,1069439,712733,13907
Louisiana,9,1102169,820299,20638
Maine,4,330201,396842,13709
Maryland,10,1024703,1334493,27482
Massachusetts,12,1071109,1803800,37479
Michigan,17,2313746,2479183,46323
Minnesota,10,1346695,1445014,36678
Mississippi,6,684981,458094,9290
Missouri,11,1455713,1259171,16480
Montana,3,266063,173710,10672
Nebraska,5,512814,254328,11044
Nevada,5,418690,397190,13707
New Hampshire,4,331237,340511,5990
New Jersey,15,1670003,1911430,30704
New Mexico,5,376930,370942,8432
New York,31,2962567,4314280,115107
North Carolina,15,1961166,1525849,13992
North Dakota,3,196651,111052,5130
Ohio,20,2859768,2741167,26973
Oklahoma,7,959792,503966,0
Oregon,7,866831,943163,26788
Pennsylvania,21,2793847,2938095,37648
Rhode Island,4,169046,259760,8328
South Carolina,8,937974,661699,18057
South Dakota,3,232584,149244,6387
Tennessee,11,1383336,1035160,16453
Texas,34,4526917,2832704,51144
Utah,5,663742,241199,22903
Vermont,3,121180,184067,7062
Virginia,13,1716959,1454742,26666
Washington,11,1304894,1510201,46618
West Virginia,5,423778,326541,5568
Wisconsin,10,1478120,1489504,29383
Wyoming,3,167629,70776,5023
