state,ecvotes,rep,dem,other
Alabama,8,76667,72921,6
Arkansas,5,22112,19078,0
California,5,54588,54068,0
Connecticut,6,50788,47844,0
Delaware,3,7614,10957,0
Georgia,9,57109,102707,0
Illinois,16,250304,199116,0
Indiana,13,176552,166980,0
Iowa,8,120399,74040,0
Kansas,3,30027,13600,3
Kentucky,11,39566,115889,0
Louisiana,7,33263,80225,0
Maine,7,70502,42460,0
Maryland,7,30438,62357,0
Massachusetts,12,136379,59103,26
Michigan,8,128560,97060,0
Minnesota,4,43722,28096,0
Missouri,11,86860,65628,0
Nebraska,3,9772,5519,0
Nevada,3,6480,5218,0
New Hampshire,5,37718,30575,11
New Jersey,7,80131,83001,0
New York,33,419888,429883,0
North Carolina,9,96939,84559,0
Ohio,21,280167,238621,0
Oregon,3,10961,11125,0
Pennsylvania,26,342280,313382,0
Rhode Island,4,12993,6548,0
South Carolina,6,62301,45237,0
Tennessee,10,56628,26129,0
Vermont,5,44167,12045,0
West Virginia,5,29015,20306,0
Wisconsin,8,108900,84703,0
