state,ecvotes,dem,rep,lib,other
Alabama,9,729547,1318255,44467,31103
Alaska,3,116454,163387,18725,20042
Arizona,11,1161167,1252401,106327,84762
Arkansas,6,380494,684872,29829,35440
California,55,8753788,4483810,478500,521786
Colorado,9,1338870,1202484,144121,94772
Connecticut,7,897572,673215,48676,25457
Delaware,3,235603,185127,14757,8327
D. C.,3,282830,12723,4906,10809
Florida,29,4504975,4617886,207043,171713
Georgia,16,1877963,2089104,125306,49072
Hawaii,4,266891,128847,15954,17245
Idaho,4,189765,409055,28331,63282
Illinois,20,3090729,2146015,209596,125610
Indiana,11,1033126,1557286,133993,33423
Iowa,6,653669,800983,59186,52193
Kansas,6,427005,671018,55406,39198
Kentucky,8,628854,1202971,53752,38572
Louisiana,8,780154,1178638,37978,32262
Maine,4,357735,335593,38105,16494
Maryland,10,1677928,943169,79605,80744
Massachusetts,11,1995196,1090893,138018,100939
Michigan,16,2268839,2279543,172136,102434
Minnesota,10,1367716,1322951,112972,141174
Mississippi,6,485131,700714,14435,10808
Missouri,10,1071068,1594511,97359,64735
Montana,3,177709,279240,28037,16836
Nebraska,5,284494,495961,38946,24826
Nevada,6,539260,512058,37384,36683
New Hampshire,4,348526,345790,30777,19203
New Jersey,14,2148278,1601933,72477,84035
New Mexico,5,385234,319666,74541,18877
New York,29,4547562,2814589,176296,168916
North Carolina,15,2189316,2362631,130126,59491
North Dakota,3,93758,216794,21434,12374
Ohio,18,2394164,2841005,174498,126861
Oklahoma,7,420375,949136,83481,0
Oregon,7,1002106,782403,94231,122596
Pennsylvania,20,2926441,2970733,146715,119123
Rhode Island,4,252525,180543,14746,16330
South Carolina,9,855373,1155389,49204,43061
South Dakota,3,117458,227721,20850,4064
Tennessee,11,870695,1522925,70397,44010
Texas,38,3877868,4685047,283492,122819
Utah,6,310676,515231,39608,278086
Vermont,3,178573,95369,10078,31047
Virginia,13,1981473,1769443,118274,113562
Washington,12,1742718,1221747,160879,191080
West Virginia,5,188794,489371,23004,20062
Wisconsin,10,1382536,1405284,106674,81656
Wyoming,3,55973,174419,13287,12170
